display  D   display_settings.c:202  debug_display_settings           [   0.44621] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44624] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44626] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44628] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44630] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44632] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44634] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44636] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44638] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44640] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44642] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44644] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44648] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44650] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44652] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44654] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44656] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44658] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44661] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44662] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.44665] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44666] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44669] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44670] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44673] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44675] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44677] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44679] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44681] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.44683] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.44685] Single Buffer requirement not met.
